Time,Height,Avg Wicking Rate,Time_Uniform,Height_Model,Wicking_Rate,Modeled Avg Wicking Rate
0.052037,0.0,0.0,0.0,0.0,0.0,0.0
0.100178,0.0,0.0,0.0473964911518162,-1.9325711042028198e-31,-4.938631090622271e-30,-4.077456067396595e-30
0.146549,0.0,0.0,0.0947929823036324,-4.337341987287105e-31,-5.1648124357610554e-30,-4.575593975294626e-30
0.19242,0.0,0.0,0.1421894734554486,-6.807750850790243e-31,-5.2481625988468046e-30,-4.787802279135154e-30
0.240545,0.0,0.0,0.1895859646072648,-9.305247652415364e-31,-5.2857375413549384e-30,-4.908194375934722e-30
0.288444,0.0,0.0,0.236982455759081,-1.181494642208398e-30,-5.3019406598336686e-30,-4.985578524890968e-30
0.334161,0.0,0.0,0.2843789469108972,-1.4329249081276532e-30,-5.306187304801895e-30,-5.0387868852212294e-30
0.380896,0.0,0.0,0.3317754380627134,-1.6843672092728844e-30,-5.3029815886980476e-30,-5.0768291321025974e-30
0.429406,0.0,0.0,0.3791719292145296,-1.935531980281567e-30,-5.294784597427804e-30,-5.104628879809489e-30
0.47459,0.0,0.0,0.4265684203663458,-2.1862203171494347e-30,-5.283069552538078e-30,-5.125134006103554e-30
0.521394,0.0,0.0,0.473964911518162,-2.4362893687672574e-30,-5.2687792358039394e-30,-5.140231501449239e-30
0.568108,0.0,0.0,0.5213614026699782,-2.6856330563170887e-30,-5.2525486093251594e-30,-5.151192709248357e-30
0.616116,0.0,0.0,0.5687578938217944,-2.934170559416341e-30,-5.234822953379628e-30,-5.158909601588207e-30
0.662916,0.0,0.0,0.6161543849736106,-3.181839056401966e-30,-5.2159249312748654e-30,-5.164028908985597e-30
0.707927,0.0,0.0,0.6635508761254268,-3.428588942177838e-30,-5.1960947790092895e-30,-5.167032499750258e-30
0.754191,0.0,0.0,0.7109473672772431,-3.67438056248137e-30,-5.175515485538792e-30,-5.1682877405585745e-30
0.801473,0.0,0.0,0.7583438584290593,-3.919181915270645e-30,-5.1543291680888536e-30,-5.168080247118231e-30
0.847307,0.0,0.0,0.8057403495808755,-4.1629669906586896e-30,-5.132648064186423e-30,-5.166635868272147e-30
0.894486,0.0,0.0,0.8531368407326917,-4.40571454512549e-30,-5.110562114192815e-30,-5.164135851104227e-30
0.941028,0.0,0.0,0.9005333318845079,-4.647407178746861e-30,-5.0881443175893174e-30,-5.160727553550327e-30
0.988101,0.0,0.0,0.947929823036324,-4.8880306286388596e-30,-5.0654545964174285e-30,-5.1565321713182915e-30
1.035537,0.0,0.0,0.9953263141881404,-5.127573219755749e-30,-5.0425426339197024e-30,-5.151650415208972e-30
1.082924,0.0,0.0,1.0427228053399564,-5.3660254322292814e-30,-5.0194499948837526e-30,-5.146166751843323e-30
1.128632,0.0,0.0,1.0901192964917727,-5.6033795563866295e-30,-4.9962117330631584e-30,-5.1401526185431754e-30
1.17516,0.0,0.0,1.1375157876435888,-5.8396294146697656e-30,-4.9728576261452424e-30,-5.1336688933054724e-30
1.222439,0.0,0.0,1.1849122787954052,-6.0747701352586836e-30,-4.949413136139609e-30,-5.126767815617846e-30
1.268475,0.0,0.0,1.2323087699472213,-6.308797966119885e-30,-4.9259001645364595e-30,-5.119494496813558e-30
1.315473,0.0,0.0,1.2797052610990376,-6.541710120998508e-30,-4.9023376521286624e-30,-5.111888119753724e-30
1.361661,0.0,0.0,1.3271017522508537,-6.773504650898753e-30,-4.8787420598995376e-30,-5.103982900640765e-30
1.408358,0.0,0.0,1.37449824340267,-7.004180336084429e-30,-4.8551277578773724e-30,-5.095808866765136e-30
1.455672,0.0,0.0,1.421894734554486,-7.233736594736893e-30,-4.831507342072837e-30,-5.087392490417653e-30
1.502564,0.0,0.0,1.4692912257063024,-7.462173405238596e-30,-4.807891894706953e-30,-5.078757209382679e-30
1.548755,0.0,0.0,1.5166877168581183,-7.689491239681842e-30,-4.7842911993434566e-30,-5.069923857240001e-30
1.596405,0.0,0.0,1.5640842080099346,-7.915691006686469e-30,-4.760713919878796e-30,-5.060911021381651e-30
1.641404,0.0,0.0,1.611480699161751,-8.140774001985354e-30,-4.737167750352604e-30,-5.0517353426696125e-30
1.687383,0.0,0.0,1.658877190313567,-8.364741865529108e-30,-4.713659541038327e-30,-5.042411767653502e-30
1.734285,0.0,0.0,1.7062736814653834,-8.587596544092147e-30,-4.690195405127841e-30,-5.0329537619761795e-30
1.780018,0.0,0.0,1.7536701726171997,-8.809340258544497e-30,-4.666780809443344e-30,-5.023373491833602e-30
1.825588,0.0,0.0,1.8010666637690158,-9.029975475100037e-30,-4.6434206519274395e-30,-5.013681978990934e-30
1.87177,0.0,0.0,1.848463154920832,-9.249504879968839e-30,-4.6201193281298276e-30,-5.0038892337916185e-30
1.918383,0.0,0.0,1.895859646072648,-9.467931356936285e-30,-4.596880788490245e-30,-4.994004369758857e-30
1.965289,0.0,0.0,1.9432561372244643,-9.685257967468585e-30,-4.573708587886123e-30,-4.984035702726226e-30
2.012534,0.0,0.0,1.9906526283762809,-9.901487933007644e-30,-4.550605928649455e-30,-4.973990836906592e-30
2.058851,0.0,0.0,2.0380491195280968,-1.0116624619169969e-29,-4.527575698046085e-30,-4.96387673988566e-30
2.105411,0.0,0.0,2.085445610679913,-1.0330671521607284e-29,-4.504620501040297e-30,-4.953699808185935e-30
2.151062,0.0,0.0,2.1328421018317294,-1.0543632253322108e-29,-4.481742689029648e-30,-4.943465924770998e-30
2.198063,0.0,0.0,2.180238592983545,-1.0755510533261269e-29,-4.458944385122688e-30,-4.9331805096353706e-30
2.244027,0.0,0.0,2.2276350841353616,-1.0966310176035187e-29,-4.436227506440328e-30,-4.922848564441456e-30
2.290728,0.0,0.0,2.2750315752871777,-1.1176035082631833e-29,-4.413593783846066e-30,-4.9124747120140874e-30
2.337475,0.0,0.0,2.322428066438994,-1.1384689232011709e-29,-4.3910447794479835e-30,-4.902063231378351e-30
2.383129,0.0,0.0,2.3698245575908103,-1.1592276673485441e-29,-4.368581902163652e-30,-4.8916180889231215e-30
2.429871,0.0,0.0,2.4172210487426264,-1.1798801519788137e-29,-4.3462064215961294e-30,-4.881142966186546e-30
2.476706,0.0,0.0,2.4646175398944425,-1.2004267940775689e-29,-4.3239194804331975e-30,-4.8706412846878555e-30
2.523104,0.0,0.0,2.512014031046258,-1.2208680157677347e-29,-4.301722105551832e-30,-4.860116228169478e-30
2.570314,0.0,0.0,2.559410522198075,-1.2412042437847104e-29,-4.2796152179845566e-30,-4.8495707625626944e-30
2.616954,0.0,0.0,2.6068070133498917,-1.2614359089963185e-29,-4.257599641882773e-30,-4.8390076539471305e-30
2.663167,0.0,0.0,2.6542035045017074,-1.2815634459630916e-29,-4.235676112594063e-30,-4.828429484737979e-30
2.7102,0.0,0.0,2.7015999956535235,-1.3015872925349484e-29,-4.213845283954966e-30,-4.8178386683040074e-30
2.756389,0.0,0.0,2.74899648680534,-1.3215078894807504e-29,-4.192107734887548e-30,-4.807237462192974e-30
2.802937,0.0,0.0,2.796392977957156,-1.3413256801476314e-29,-4.1704639753767966e-30,-4.796627980118544e-30
2.849991,0.0,0.0,2.843789469108972,-1.3610411101473218e-29,-4.1489144518962346e-30,-4.786012202843444e-30
2.89733,0.0,0.0,2.8911859602607883,-1.380654627067e-29,-4.1274595523407994e-30,-4.7753919880769734e-30
2.943097,0.0,0.0,2.938582451412605,-1.4001666802024646e-29,-4.1060996105188464e-30,-4.764769079490661e-30
2.990555,0.0,0.0,2.985978942564421,-1.4195777203116328e-29,-4.0848349102490014e-30,-4.754145114943342e-30
3.036305,0.0,0.0,3.033375433716237,-1.438888199386614e-29,-4.063665689102121e-30,-4.7435216339963856e-30
3.082939,0.0,0.0,3.080771924868053,-1.458098570442737e-29,-4.042592141824026e-30,-4.73290008479023e-30
3.129507,0.0,0.0,3.1281684160198693,-1.477209287323117e-29,-4.0216144234705594e-30,-4.722281830345461e-30
3.176128,0.0,0.0,3.175564907171686,-1.4962208045174433e-29,-4.000732652283007e-30,-4.7116681543443906e-30
3.222018,0.0,0.0,3.222961398323502,-1.515133576993847e-29,-3.9799469123288035e-30,-4.7010602664430885e-30
3.268384,0.0,0.0,3.270357889475318,-1.5339480600427538e-29,-3.959257255929689e-30,-4.690459307158134e-30
3.314806,0.0,0.0,3.317754380627134,-1.552664709131797e-29,-3.938663705897192e-30,-4.6798663523678524e-30
3.361695,0.0,0.0,3.3651508717789507,-1.5712839797708958e-29,-3.918166257593089e-30,-4.669282417463362e-30
3.408373,0.0,0.0,3.4125473629307668,-1.5898063273867194e-29,-3.8977648808307496e-30,-4.6587084611812115e-30
3.455521,0.0,0.0,3.459943854082583,-1.608232207205813e-29,-3.877459521631562e-30,-4.6481453891460375e-30
3.501842,0.0,0.0,3.507340345234399,-1.6265620741457309e-29,-3.8572501038492485e-30,-4.637594057148811e-30
3.549119,0.0,0.0,3.5547368363862155,-1.6447963827135822e-29,-3.837136530673522e-30,-4.627055274183673e-30
3.596554,0.0,0.0,3.602133327538032,-1.6629355869114269e-29,-3.817118686023509e-30,-4.6165298052640425e-30
3.642938,0.0,0.0,3.649529818689848,-1.680980140148051e-29,-3.7971964358402085e-30,-4.6060183740367666e-30
3.68959,0.0,0.0,3.696926309841664,-1.6989304951566246e-29,-3.777369629286494e-30,-4.595521665211088e-30
3.736468,0.0,0.0,3.74432280099348,-1.7167871039178646e-29,-3.757638099862276e-30,-4.5850403268178425e-30
3.781887,0.0,0.0,3.791719292145297,-1.7345504175882767e-29,-3.7380016664417235e-30,-4.5745749723126115e-30
3.829306,0.0,0.0,3.839115783297113,-1.752220886433156e-29,-3.71846013423887e-30,-4.5641261825354796e-30
3.876933,0.0,0.0,3.8865122744489287,-1.7697989597639965e-29,-3.699013295707268e-30,-4.553694507538736e-30
3.92317,0.0,0.0,3.9339087656007448,-1.787285085880022e-29,-3.6796609313788934e-30,-4.543280468292932e-30
3.969796,0.0,0.0,3.981305256752561,-1.8046797120135605e-29,-3.6604028106470215e-30,-4.532884558280736e-30
4.017115,0.0,0.0,4.028701747904377,-1.821983284279002e-29,-3.641238692497376e-30,-4.522507244987169e-30
4.064297,0.0,0.0,4.0760982390561935,-1.8391962476251064e-29,-3.622168326191471e-30,-4.5121489712940926e-30
4.11038,0.0,0.0,4.12349473020801,-1.8563190457904497e-29,-3.603191451905746e-30,-4.501810156786129e-30
4.15686,0.0,0.0,4.170891221359826,-1.873352121261792e-29,-3.584307801329771e-30,-4.491491198974563e-30
4.205518,0.0,0.0,4.218287712511642,-1.8902959152351978e-29,-3.565517098226512e-30,-4.481192474445236e-30
4.251531,0.0,0.0,4.265684203663459,-1.907150867579724e-29,-3.5468190589574315e-30,-4.470914339935955e-30
4.297652,0.0,0.0,4.313080694815275,-1.9239174168035197e-29,-3.5282133929749244e-30,-4.460657133348439e-30
4.343902,0.0,0.0,4.360477185967091,-1.9405960000221842e-29,-3.509699803284436e-30,-4.4504211746994566e-30
4.390814,0.0,0.0,4.407873677118907,-1.95718705292925e-29,-3.491277986878363e-30,-4.4402067670154174e-30
4.437354,0.0,0.0,4.455270168270723,-1.973691009768664e-29,-3.4729476351437255e-30,-4.430014197174346e-30
4.484163,0.0,0.0,4.502666659422539,-1.9901083033091286e-29,-3.454708434245385e-30,-4.419843736698815e-30
4.530794,0.0,0.0,4.550063150574355,-2.0064393648202212e-29,-3.436560065486513e-30,-4.409695642503221e-30
4.576889,0.0,0.0,4.597459641726172,-2.0226846240501606e-29,-3.418502205647797e-30,-4.399570157598423e-30
4.622866,0.0,0.0,4.644856132877988,-2.0388445092051355e-29,-3.40053452730684e-30,-4.389467511756607e-30
4.669325,0.0,0.0,4.692252624029805,-2.0549194469301048e-29,-3.3826566991390455e-30,-4.379387922138977e-30
